Ware_house_ID,kmeans_segment,ward_segment
WH_104292,1,1
WH_104295,4,4
WH_104296,1,1
WH_104299,4,2
WH_104304,3,1
WH_104310,1,1
WH_104314,1,1
WH_104317,1,2
WH_104328,4,4
WH_104329,4,4
WH_104331,4,3
WH_104339,4,3
WH_104343,2,2
WH_104352,2,2
WH_104368,4,4
WH_104369,2,2
WH_104374,1,1
WH_104381,3,3
WH_104383,4,4
WH_104391,4,3
WH_104398,1,1
WH_104403,4,3
WH_104405,4,2
WH_104406,4,4
WH_104410,3,1
WH_104411,4,4
WH_104413,3,3
WH_104415,4,1
WH_104428,4,4
WH_104429,4,4
WH_104436,3,1
WH_104444,2,1
WH_104445,4,4
WH_104448,1,1
WH_104456,1,1
WH_104476,2,2
WH_104477,1,1
WH_104489,4,2
WH_104492,4,4
WH_104495,4,3
WH_104496,4,4
WH_104510,1,1
WH_104514,1,1
WH_104515,4,3
WH_104516,4,4
WH_104521,4,4
WH_104529,2,2
WH_104541,4,2
WH_104552,2,2
WH_104553,2,2
WH_104555,1,1
WH_104560,4,4
WH_104565,4,4
WH_104585,4,2
WH_104587,3,1
WH_104591,3,4
WH_104596,4,4
WH_104601,4,3
WH_104608,3,1
WH_104610,1,2
WH_104618,1,1
WH_104619,2,2
WH_104636,4,4
WH_104637,2,2
WH_104641,3,3
WH_104644,1,1
WH_104649,3,3
WH_104651,1,1
WH_104657,3,1
WH_104662,4,4
WH_104670,3,3
WH_104676,1,1
WH_104689,1,1
WH_104693,3,1
WH_104700,4,4
WH_104701,4,4
WH_104704,1,4
WH_104713,4,3
WH_104714,4,3
WH_104718,3,3
WH_104722,2,1
WH_104723,4,3
WH_104724,3,1
WH_104730,2,2
WH_104737,2,2
WH_104742,3,1
WH_104751,1,1
WH_104752,3,3
WH_104755,4,4
WH_104756,1,1
WH_104763,3,4
WH_104765,2,2
WH_104766,4,3
WH_104768,2,2
WH_104770,4,3
WH_104776,2,2
WH_104778,4,4
WH_104779,2,2
WH_104784,3,3
WH_104785,2,2
WH_104787,4,3
WH_104804,4,4
WH_104805,1,1
WH_104816,3,3
WH_104818,1,2
WH_104830,2,2
WH_104831,4,3
WH_104844,1,1
WH_104847,4,4
WH_104851,2,2
WH_104854,4,4
WH_104855,4,4
WH_104858,1,1
WH_104861,3,4
WH_104870,4,4
WH_104876,1,1
WH_104880,1,1
WH_104893,2,2
WH_104903,2,2
WH_104906,3,3
WH_104909,3,1
WH_104920,1,1
WH_104921,1,4
WH_104926,4,3
WH_104933,4,3
WH_104942,2,2
WH_104945,4,4
WH_104947,4,3
WH_104962,4,2
WH_104968,3,3
WH_104969,2,2
WH_104970,4,4
WH_104972,1,1
WH_104973,3,1
WH_104992,1,3
WH_104995,2,2
WH_105010,4,2
WH_105017,4,3
WH_105033,4,2
WH_105034,1,3
WH_105041,1,1
WH_105044,1,4
WH_105046,3,3
WH_105052,2,2
WH_105068,1,1
WH_105076,1,1
WH_105094,1,1
WH_105097,2,2
WH_105111,3,3
WH_105118,2,2
WH_105120,1,1
WH_105128,1,2
WH_105131,2,2
WH_105133,1,1
WH_105134,3,3
WH_105147,2,2
WH_105154,4,3
WH_105158,1,3
WH_105160,3,3
WH_105173,1,1
WH_105194,4,3
WH_105197,2,1
WH_105218,3,3
WH_105226,3,2
WH_105234,1,1
WH_105235,4,4
WH_105240,2,2
WH_105242,1,4
WH_105244,3,1
WH_105246,3,1
WH_105249,1,1
WH_105251,2,2
WH_105252,2,2
WH_105254,3,1
WH_105266,2,2
WH_105267,3,1
WH_105277,4,3
WH_105278,3,3
WH_105282,3,3
WH_105287,4,4
WH_105293,4,4
WH_105295,3,1
WH_105302,4,4
WH_105309,4,4
WH_105312,1,1
WH_105313,4,4
WH_105315,3,3
WH_105318,4,3
WH_105324,1,1
WH_105326,4,4
WH_105330,2,1
WH_105339,3,1
WH_105342,4,3
WH_105343,3,3
WH_105345,4,4
WH_105355,3,3
WH_105363,4,4
WH_105364,3,3
WH_105371,4,4
WH_105378,4,4
WH_105379,3,1
WH_105383,1,1
WH_105392,4,4
WH_105397,1,1
WH_105403,1,1
WH_105405,1,1
WH_105413,1,4
WH_105422,4,4
WH_105426,3,3
WH_105427,3,3
WH_105433,4,4
WH_105438,3,1
WH_105444,3,1
WH_105453,4,4
WH_105469,2,2
WH_105473,3,1
WH_105483,2,2
WH_105487,4,4
WH_105493,3,3
WH_105499,3,1
WH_105504,3,4
WH_105505,4,4
WH_105506,4,4
WH_105513,2,2
WH_105519,1,1
WH_105531,3,3
WH_105536,4,3
WH_105539,4,4
WH_105542,3,1
WH_105545,3,3
WH_105549,2,1
WH_105559,4,4
WH_105562,4,2
WH_105588,2,2
WH_105589,4,4
WH_105610,3,1
WH_105611,3,3
WH_105613,3,3
WH_105621,3,3
WH_105627,4,2
WH_105629,4,4
WH_105631,3,1
WH_105633,4,3
WH_105634,1,4
WH_105637,4,4
WH_105640,1,1
WH_105645,3,1
WH_105647,3,3
WH_105649,1,1
WH_105652,3,3
WH_105654,3,1
WH_105662,3,1
WH_105664,4,4
WH_105668,2,2
WH_105670,4,2
WH_105673,2,2
WH_105674,3,3
WH_105689,1,1
WH_105707,4,4
WH_105710,1,4
WH_105716,2,2
WH_105721,4,4
WH_105723,4,4
WH_105724,2,2
WH_105727,1,1
WH_105729,4,3
WH_105730,1,1
WH_105742,1,1
WH_105743,4,4
WH_105770,4,3
WH_105771,2,2
WH_105774,2,2
WH_105775,2,2
WH_105782,1,1
WH_105783,1,1
WH_105790,3,3
WH_105796,4,4
WH_105798,3,1
WH_105800,1,1
WH_105803,1,1
WH_105805,3,1
WH_105810,4,4
WH_105811,1,1
WH_105812,4,4
WH_105821,2,2
WH_105826,4,4
WH_105831,1,2
WH_105836,4,3
WH_105841,4,4
WH_105843,4,4
WH_105851,4,3
WH_105872,4,4
WH_105881,4,4
WH_105883,4,4
WH_105884,4,4
WH_105889,4,2
WH_105896,1,1
WH_105897,1,2
WH_105902,2,2
WH_105904,2,1
WH_105905,2,2
WH_105908,3,1
WH_105910,1,1
WH_105914,4,4
WH_105916,1,1
WH_105920,1,1
WH_105927,2,2
WH_105933,4,2
WH_105935,4,4
WH_105936,2,2
WH_105937,3,1
WH_105940,3,1
WH_105947,4,4
WH_105955,4,2
WH_105958,2,2
WH_105959,3,1
WH_105975,4,3
WH_105988,2,2
WH_105990,4,4
WH_106002,3,1
WH_106003,3,1
WH_106006,4,3
WH_106011,1,4
WH_106017,4,4
WH_106025,1,1
WH_106026,1,1
WH_106031,2,2
WH_106037,3,1
WH_106039,4,4
WH_106041,4,4
WH_106043,4,4
WH_106044,4,1
WH_106050,3,4
WH_106055,3,3
WH_106056,4,3
WH_106064,1,2
WH_106073,1,4
WH_106075,4,4
WH_106077,4,4
WH_106083,1,1
WH_106086,1,1
WH_106092,2,2
WH_106096,4,4
WH_106108,3,3
WH_106111,4,4
WH_106116,1,1
WH_106121,2,2
WH_106122,1,4
WH_106126,1,4
WH_106142,3,4
WH_106152,1,1
WH_106154,1,1
WH_106156,3,3
WH_106160,4,4
WH_106165,3,3
WH_106168,4,3
WH_106177,1,4
WH_106179,1,2
WH_106180,1,4
WH_106186,1,4
WH_106187,4,3
WH_106196,4,2
WH_106199,4,4
WH_106208,3,1
WH_106209,4,3
WH_106213,4,3
WH_106215,1,1
WH_106216,2,2
WH_106223,4,4
WH_106235,2,2
WH_106237,4,3
WH_106238,3,3
WH_106257,4,1
WH_106259,4,4
WH_106261,3,1
WH_106264,1,1
WH_106265,3,1
WH_106267,3,1
WH_106289,2,1
WH_106292,2,2
WH_106296,4,4
WH_106298,4,3
WH_106300,4,4
WH_106305,2,2
WH_106321,3,1
WH_106328,3,1
WH_106331,4,4
WH_106343,3,3
WH_106351,4,4
WH_106352,1,1
WH_106353,1,1
WH_106359,2,2
WH_106362,4,3
WH_106367,4,4
WH_106387,3,3
WH_106390,4,4
WH_106397,4,4
WH_106400,3,3
WH_106406,3,3
WH_106418,1,1
WH_106420,1,1
WH_106421,2,2
WH_106422,3,3
WH_106424,3,2
WH_106426,4,4
WH_106432,4,4
WH_106444,4,4
WH_106447,3,2
WH_106454,3,3
WH_106456,1,1
WH_106457,4,4
WH_106458,3,1
WH_106462,3,3
WH_106467,1,1
WH_106472,4,3
WH_106476,3,1
WH_106477,4,4
WH_106480,1,4
WH_106487,4,4
WH_106489,4,4
WH_106494,4,4
WH_106496,4,1
WH_106504,1,1
WH_106506,3,4
WH_106507,4,3
WH_106515,4,4
WH_106518,2,2
WH_106530,2,1
WH_106535,4,3
WH_106543,3,3
WH_106544,4,4
WH_106551,3,1
WH_106552,3,3
WH_106553,2,2
WH_106559,4,4
WH_106563,1,4
WH_106565,2,2
WH_106571,3,1
WH_106572,3,1
WH_106574,3,1
WH_106577,1,1
WH_106581,2,2
WH_106583,4,3
WH_106585,4,4
WH_106589,4,3
WH_106591,4,4
WH_106593,4,3
WH_106594,1,1
WH_106607,2,2
WH_106610,4,4
WH_106616,4,3
WH_106621,1,1
WH_106624,1,2
WH_106639,3,3
WH_106652,4,4
WH_106653,4,4
WH_106662,4,4
WH_106666,3,1
WH_106673,4,4
WH_106674,3,3
WH_106694,3,1
WH_106697,4,3
WH_106703,1,1
WH_106706,3,3
WH_106709,2,2
WH_106715,3,3
WH_106720,4,3
WH_106721,4,3
WH_106723,4,3
WH_106724,3,1
WH_106732,4,4
WH_106735,4,4
WH_106738,3,2
WH_106743,1,4
WH_106750,1,1
WH_106753,2,1
WH_106763,1,1
WH_106794,1,1
WH_106797,3,3
WH_106800,1,1
WH_106802,4,4
WH_106803,4,4
WH_106806,1,1
WH_106808,3,1
WH_106809,3,4
WH_106816,1,1
WH_106819,3,1
WH_106822,1,1
WH_106827,3,3
WH_106829,4,4
WH_106847,1,1
WH_106849,3,3
WH_106851,1,1
WH_106852,2,2
WH_106855,1,1
